State,Size,Interchange,Bubble,Selection,Quick,Merge,Heap,Radix,
random,1000,0.0034821,0.0034356,0.0004619,0.0001274,0.0002711,0.0004771,9.37e-05,
random,3000,0.032744,0.030541,0.0033275,0.0004114,0.0009682,0.0016626,0.000698,
random,10000,0.408602,0.367337,0.0366218,0.0013712,0.0034405,0.0043649,0.0008419,
random,30000,3.70181,3.61022,0.334449,0.0044186,0.0117493,0.0124735,0.0024873,
random,100000,42.321,42.5279,3.78029,0.0157806,0.0530182,0.0456949,0.0085925,
sorted,1000,0.0003671,0.0003617,0.0003526,7.49e-05,0.0002459,0.0003523,9.13e-05,
sorted,3000,0.0030385,0.0035325,0.0030683,0.0002346,0.000896,0.0011105,0.0003,
sorted,10000,0.0362156,0.035043,0.0345211,0.0007301,0.003214,0.0039457,0.0008522,
sorted,30000,0.343036,0.3319,0.344965,0.0022369,0.011383,0.0128951,0.0025492,
sorted,100000,3.77703,3.77794,3.79125,0.0082551,0.0467736,0.0380421,0.0086666,
reversed,1000,0.0056327,0.0054285,0.0003989,8.76e-05,0.0002234,0.0008198,0.0003665,
reversed,3000,0.0592963,0.0533666,0.0037523,0.0002632,0.0008373,0.0010449,0.0002948,
reversed,10000,0.577927,0.568067,0.0386012,0.0007659,0.0034218,0.0036619,0.0009204,
reversed,30000,5.11704,5.16317,0.385983,0.0023453,0.0104533,0.0110468,0.0031165,
reversed,100000,58.8762,59.1834,5.18809,0.0116414,0.0388051,0.0396255,0.0131191,
